Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
187,"K Suzuki, S Inagaki, T Suzuki, ...","Nonintrusive appliance load monitoring based on integer programming",2008,"2008 SICE Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4655131/","https://scholar.google.com/scholar?cites=9084020478834409136&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-01-11 17:36:20","","","","",,,,,187,15.58,47,4,12
77,"M Baranski, J Voss","Nonintrusive appliance load monitoring based on an optical sensor",2003,"2003 IEEE Bologna Power Tech …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1304732/","https://scholar.google.com/scholar?cites=17958033845561509790&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-01-11 17:36:20","","","","",,,,,77,4.53,39,2,17
2118,"GW Hart","Nonintrusive appliance load monitoring",1992,"Proceedings of the IEEE","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/192069/","https://scholar.google.com/scholar?cites=13659967341396885001&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-01-11 17:36:20","","","","",,,,,2118,75.64,2118,1,28
2,"M Bons, Y Deville, D Schang","Nonintrusive Monitoring of Appliance Load Curves",1994,"IERE Workshop onNew Issues in Metering and …","","","https://scholar.google.com/scholar?cites=10049282544613613746&as_sdt=2005&sciodt=0,5&hl=en",125,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.08,1,3,26
0,"K Khalid, A Mohamed, H Shareef","Nonintrusive Load Monitoring using TT-Transform and Neural Networks.",2016,"International Journal of Simulation …","ijssst.info","http://ijssst.info/Vol-17/No-41/paper10.pdf","",82,"2020-01-11 17:36:20","PDF","","","",,,,,0,0.00,0,3,4
0,"C Gebbe","Nonintrusive Load Monitoring for Machines used in Manufacturing",2019,"arXiv preprint arXiv:1912.01500","arxiv.org","https://arxiv.org/abs/1912.01500","",89,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,1
1,"K Wang, H Zhong, N Yu, Q Xia","Nonintrusive Load Monitoring based on Sequence-to-sequence Model With Attention Mechanism",2019,"","escholarship.org","https://escholarship.org/uc/item/4wm2q4fv","https://scholar.google.com/scholar?cites=7543758241153741970&as_sdt=2005&sciodt=0,5&hl=en",79,"2020-01-11 17:36:20","","","","",,,,,1,1.00,0,4,1
0,"K Khaki, A Mohamed, ...","Nonintrusive Load Monitoring Using Support Vector Machine",2018,"JURNAL …","UKM PRESS BANGI, SELANGOR …","","",112,"2020-01-11 17:36:20","CITATION","","","",,,,,0,0.00,0,3,2
0,"D Su, Q Shi, H Xu, W Wang","Nonintrusive Load Monitoring Based on Complementary Features of Spurious Emissions",2019,"Electronics","mdpi.com","https://www.mdpi.com/2079-9292/8/9/1002","",92,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,4,1
0,"A Wójcik, R Łukaszewski, R Kowalik, W Winiecki","Nonintrusive Appliance Load Monitoring: An Overview, Laboratory Test Results and Research Directions",2019,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/19/16/3621","",109,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,4,1
2,"J Lemmerhirt, R Blevins","Nonintrusive Appliance Load Monitoring System (Nialms)",1997,"","","","https://scholar.google.com/scholar?cites=1412657219445837416&as_sdt=2005&sciodt=0,5&hl=en",118,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.09,1,2,23
7,"P Lindahl, S Leeb, J Donnal, ...","Noncontact sensors and nonintrusive load monitoring (NILM) aboard the USCGC spencer",2016,"2016 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7589633/","https://scholar.google.com/scholar?cites=5900300126856623003&as_sdt=2005&sciodt=0,5&hl=en",56,"2020-01-11 17:36:20","","","","",,,,,7,1.75,2,4,4
20,"D Balsamo, G Gallo, D Brunelli, ...","Non-intrusive zigbee power meter for load monitoring in smart buildings",2015,"2015 IEEE Sensors …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7133611/","https://scholar.google.com/scholar?cites=1392086067055965516&as_sdt=2005&sciodt=0,5&hl=en",64,"2020-01-11 17:36:20","","","","",,,,,20,4.00,5,4,5
0,"SM Neuman","Non-intrusive water utility monitoring and free-space load monitoring",2010,"","dspace.mit.edu","https://dspace.mit.edu/bitstream/handle/1721.1/62750/717630593-MIT.pdf?sequence=2","",481,"2020-01-11 17:36:20","PDF","","","",,,,,0,0.00,0,1,10
2,"B Liu","Non-intrusive power load monitoring and disaggregation technique",2014,"Tianjin University","","","https://scholar.google.com/scholar?cites=2944558653717356733&as_sdt=2005&sciodt=0,5&hl=en",520,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.33,2,1,6
5,"P Li","Non-intrusive method for power load disaggregation and monitoring",2009,"Tianjin University","","","https://scholar.google.com/scholar?cites=18245765099975968284&as_sdt=2005&sciodt=0,5&hl=en",531,"2020-01-11 17:36:20","CITATION","","","",,,,,5,0.45,5,1,11
15,"KD Anderson","Non-intrusive load monitoring: Disaggregation of energy by unsupervised power consumption clustering",2014,"","kilthub.cmu.edu","https://kilthub.cmu.edu/articles/Non-Intrusive_Load_Monitoring_Disaggregation_of_Energy_by_Unsupervised_Power_Consumption_Clustering/6720851/files/12255275.pdf","https://scholar.google.com/scholar?cites=16088306157064610447&as_sdt=2005&sciodt=0,5&hl=en",97,"2020-01-11 17:36:20","PDF","","","",,,,,15,2.50,15,1,6
7,"M Bergés, Z Kolter","Non-intrusive load monitoring: A review of the state of the art",2012,"… on Non-Intrusive Load Monitoring, Pittsburgh, PA, USA","","","https://scholar.google.com/scholar?cites=14936921108236879977&as_sdt=2005&sciodt=0,5&hl=en",294,"2020-01-11 17:36:20","CITATION","","","",,,,,7,0.88,4,2,8
17,"C Klemenjak, P Goldsborough","Non-intrusive load monitoring: A review and outlook",2016,"arXiv preprint arXiv:1610.01191","arxiv.org","https://arxiv.org/abs/1610.01191","https://scholar.google.com/scholar?cites=12081248344342949045&as_sdt=2005&sciodt=0,5&hl=en",90,"2020-01-11 17:36:20","","","","",,,,,17,4.25,9,2,4
0,"KD Anderson, JMF Moura, ...","Non-intrusive load monitoring: A power consumption based relaxation",2015,"2015 IEEE Global …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7418188/","",342,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,3,5
0,"D Carr","Non-intrusive load monitoring with canopy clustering",2012,"","ethos.bl.uk","https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.749700","",308,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,8
2,"J Chung, JM Gillis, WG Morsi","Non-intrusive load monitoring using wavelet design and co-testing of machine learning classifiers",2016,"2016 IEEE Electrical Power and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7771763/","https://scholar.google.com/scholar?cites=3984303699291774875&as_sdt=2005&sciodt=0,5&hl=en",230,"2020-01-11 17:36:20","","","","",,,,,2,0.50,1,3,4
29,"JM Gillis, WG Morsi","Non-intrusive load monitoring using semi-supervised machine learning and wavelet design",2016,"IEEE Transactions on Smart Grid","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7430361/","https://scholar.google.com/scholar?cites=13871060377059557068&as_sdt=2005&sciodt=0,5&hl=en",56,"2020-01-11 17:36:20","","","","",,,,,29,7.25,15,2,4
306,"O Parson, S Ghosh, M Weal, A Rogers","Non-intrusive load monitoring using prior models of general appliance types",2012,"Twenty-Sixth AAAI Conference on …","aaai.org","https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewPaper/4809","https://scholar.google.com/scholar?cites=2511599628229901658&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-01-11 17:36:20","","","","",,,,,306,38.25,77,4,8
8,"J Gillis, WG Morsi","Non-intrusive load monitoring using orthogonal wavelet analysis",2016,"2016 IEEE Canadian Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7726786/","https://scholar.google.com/scholar?cites=2767053431450247356&as_sdt=2005&sciodt=0,5&hl=en",129,"2020-01-11 17:36:20","","","","",,,,,8,2.00,4,2,4
3,"T Juhana, AI Irawan","Non-intrusive load monitoring using Bluetooth low energy",2015,"2015 9th International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7440454/","https://scholar.google.com/scholar?cites=8328889582704919153&as_sdt=2005&sciodt=0,5&hl=en",185,"2020-01-11 17:36:20","","","","",,,,,3,0.60,2,2,5
10,"C Dinesh, S Welikala, Y Liyanage, MPB Ekanayake, ...","Non-intrusive load monitoring under residential solar power influx",2017,"Applied energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306261917311157","https://scholar.google.com/scholar?cites=16601763471629934435&as_sdt=2005&sciodt=0,5&hl=en",138,"2020-01-11 17:36:20","","","","",,,,,10,3.33,2,5,3
35,"SS Hosseini, K Agbossou, S Kelouwani, ...","Non-intrusive load monitoring through home energy management systems: A comprehensive review",2017,"… and Sustainable Energy …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364032117307359","https://scholar.google.com/scholar?cites=9677549626734220494&as_sdt=2005&sciodt=0,5&hl=en",57,"2020-01-11 17:36:20","","","","",,,,,35,11.67,9,4,3
2,"JMA Orzáez","Non-intrusive load monitoring techniques for activity of daily living recognition",2017,"","dialnet.unirioja.es","https://dialnet.unirioja.es/servlet/dctes?codigo=181986","https://scholar.google.com/scholar?cites=17087458918753589639&as_sdt=2005&sciodt=0,5&hl=en",318,"2020-01-11 17:36:20","","","","",,,,,2,0.67,2,1,3
6,"TR Sharp","Non-intrusive load monitoring systems: Considerations for use and potential applications",1994,"","osti.gov","https://www.osti.gov/biblio/10118074","https://scholar.google.com/scholar?cites=3228036522643544601&as_sdt=2005&sciodt=0,5&hl=en",136,"2020-01-11 17:36:20","","","","",,,,,6,0.23,6,1,26
0,"K Yoshimoto, Y Nakano","Non-intrusive load monitoring system. Pt. 1. Identification of inverter-driven appliances by a neural network; Hishinyugata monitoring system no kaihatsu. 1. Neural …",1999,"","osti.gov","https://www.osti.gov/etdeweb/biblio/20011868","",363,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,21
3,"B Huang, M Knox, K Bradbury, ...","Non-intrusive load monitoring system performance over a range of low frequency sampling rates",2017,"2017 IEEE 6th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8191111/","https://scholar.google.com/scholar?cites=16451557467784591282&as_sdt=2005&sciodt=0,5&hl=en",272,"2020-01-11 17:36:20","","","","",,,,,3,1.00,1,4,3
1,"W Wang, SH Ahn","Non-intrusive load monitoring system for anomaly detection based on energy disaggregation by cascading semi-supervised learning and deep learning …",2017,"Soft Rob","","","https://scholar.google.com/scholar?cites=215366996843951520&as_sdt=2005&sciodt=0,5&hl=en",473,"2020-01-11 17:36:20","CITATION","","","",,,,,1,0.33,1,2,3
21,"D Benitez, R Huang","Non-intrusive load monitoring system and method",2012,"US Patent 8,340,831","Google Patents","https://patents.google.com/patent/US8340831B2/en","https://scholar.google.com/scholar?cites=7093819761934141825&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-01-11 17:36:20","","","","",,,,,21,2.63,11,2,8
7,"R Breed, J Delport","Non-intrusive load monitoring of residential appliances",2001,"Proceedings of the 7th Domestic Use of Energy …","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.477.2872&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=6670749775835611232&as_sdt=2005&sciodt=0,5&hl=en",127,"2020-01-11 17:36:20","PDF","","","",,,,,7,0.37,4,2,19
0,"JG Roos","Non-intrusive load monitoring of electrical appliances",1994,"ELEKTRON-JOHANNESBURG-","ELEKTRON MANAGEMENT …","","",513,"2020-01-11 17:36:20","CITATION","","","",,,,,0,0.00,0,1,26
4,"S Su, Y Yan, H Lu, L Kangping, S Yujing, ...","Non-intrusive load monitoring of air conditioning using low-resolution smart meter data",2016,"… on Power System …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7753952/","https://scholar.google.com/scholar?cites=11357476474069313797&as_sdt=2005&sciodt=0,5&hl=en",193,"2020-01-11 17:36:20","","","","",,,,,4,1.00,1,6,4
10,"A Rahimpour, H Qi, D Fugate, ...","Non-intrusive load monitoring of HVAC components using signal unmixing",2015,"2015 IEEE Global …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7418350/","https://scholar.google.com/scholar?cites=2111352870162688792&as_sdt=2005&sciodt=0,5&hl=en",93,"2020-01-11 17:36:20","","","","",,,,,10,2.00,3,4,5
6,"Y Sun, C Cui, J Lu, J HAO, X LIU","Non-intrusive load monitoring method based on delta feature extraction and fuzzy clustering",2017,"Automation of Electric Power …","en.cnki.com.cn","http://en.cnki.com.cn/Article_en/CJFDTotal-DLXT201704012.htm","https://scholar.google.com/scholar?cites=2017728081742024279&as_sdt=2005&sciodt=0,5&hl=en",222,"2020-01-11 17:36:20","","","","",,,,,6,2.00,1,5,3
2,"ET Mayhorn, GP Sullivan, T Fu, JM Petersen","Non-intrusive load monitoring laboratory-based test protocols",2017,"","Tech. Rep","","https://scholar.google.com/scholar?cites=4826938233383021194&as_sdt=2005&sciodt=0,5&hl=en",460,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.67,1,4,3
2,"C Schantz, B Sennett, J Donnal, M Gillman, ...","Non-intrusive load monitoring for water (WaterNILM)",2014,"WIT Transactions on …","witpress.com","https://www.witpress.com/elibrary/wit-transactions-on-the-built-environment/139/26217","https://scholar.google.com/scholar?cites=11647714610315600728&as_sdt=2005&sciodt=0,5&hl=en",214,"2020-01-11 17:36:20","","","","",,,,,2,0.33,0,5,6
0,"E Ponce","Non-intrusive load monitoring for existing water and natural gas metering infrastructure",2019,"","dspace.mit.edu","https://dspace.mit.edu/handle/1721.1/123033","",441,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,1
40,"R Bonfigli, E Principi, M Fagiani, M Severini, ...","Non-intrusive load monitoring by using active and reactive power in additive Factorial Hidden Markov Models",2017,"Applied energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306261917312369","https://scholar.google.com/scholar?cites=2943926180981197964&as_sdt=2005&sciodt=0,5&hl=en",50,"2020-01-11 17:36:20","","","","",,,,,40,13.33,8,5,3
61,"YH Lin, MS Tsai","Non-intrusive load monitoring by novel neuro-fuzzy classification considering uncertainties",2014,"IEEE Transactions on Smart Grid","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6880402/","https://scholar.google.com/scholar?cites=8733440218142878274&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-01-11 17:36:20","","","","",,,,,61,10.17,31,2,6
63,"C Duarte, P Delmar, KW Goossen, ...","Non-intrusive load monitoring based on switching voltage transients and wavelet transforms",2012,"2012 Future of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6378333/","https://scholar.google.com/scholar?cites=11691098311217912144&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-01-11 17:36:20","","","","",,,,,63,7.88,16,4,8
8,"TTH Le, H Kim","Non-intrusive load monitoring based on novel transient signal in household appliances with low sampling rate",2018,"Energies","mdpi.com","https://www.mdpi.com/1996-1073/11/12/3409","https://scholar.google.com/scholar?cites=3442575738494368856&as_sdt=2005&sciodt=0,5&hl=en",187,"2020-01-11 17:36:20","","","","",,,,,8,4.00,4,2,2
9,"C Dinesh, RI Godaliyadda, MPB Ekanayake, ...","Non-intrusive load monitoring based on low frequency active power measurements",2016,"AIMS Energy","orca.cf.ac.uk","http://orca.cf.ac.uk/id/eprint/88736","https://scholar.google.com/scholar?cites=13677240121906329823&as_sdt=2005&sciodt=0,5&hl=en",117,"2020-01-11 17:36:20","","","","",,,,,9,2.25,2,4,4
1,"A Kumar, HK Meena","Non-intrusive load monitoring based on graph signal processing",2017,"2017 Recent Developments in Control …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8358232/","https://scholar.google.com/scholar?cites=4564568537052936092&as_sdt=2005&sciodt=0,5&hl=en",246,"2020-01-11 17:36:20","","","","",,,,,1,0.33,1,2,3
15,"RS Butner, DJ Reid, MG Hoffman, G Sullivan, ...","Non-intrusive load monitoring assessment: literature review and laboratory protocol",2013,"","osti.gov","https://www.osti.gov/biblio/1095438","https://scholar.google.com/scholar?cites=2401687145622459076&as_sdt=2005&sciodt=0,5&hl=en",76,"2020-01-11 17:36:20","","","","",,,,,15,2.14,3,5,7
642,"A Zoha, A Gluhak, M Imran, S Rajasegarar","Non-intrusive load monitoring approaches for disaggregated energy sensing: A survey",2012,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/12/12/16838","https://scholar.google.com/scholar?cites=18443118642628572486&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-01-11 17:36:20","","","","",,,,,642,80.25,161,4,8
5,"SM Seo, M Ravi, YJ Park","Non-intrusive load monitoring apparatus and method",2014,"US Patent App. 14/271,662","Google Patents","https://patents.google.com/patent/US20140336831A1/en","https://scholar.google.com/scholar?cites=14675139734793700498&as_sdt=2005&sciodt=0,5&hl=en",168,"2020-01-11 17:36:20","","","","",,,,,5,0.83,2,3,6
8,"B Naghibi, S Deilami","Non-intrusive load monitoring and supplementary techniques for home energy management",2014,"2014 Australasian Universities Power …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6966647/","https://scholar.google.com/scholar?cites=2188034192942621473&as_sdt=2005&sciodt=0,5&hl=en",114,"2020-01-11 17:36:20","","","","",,,,,8,1.33,4,2,6
0,"Q Liu, M Lu, X Liu, N Linge","Non-intrusive load monitoring and its challenges in a NILM system framework",2019,"International Journal of High …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJHPCN.2019.099748","",304,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,4,1
10,"SR Shaw, DJ Evangelista, SB Leeb, CR Laughman","Non-intrusive load monitoring and identification in an automotive environment",1999,"IMACS","","","https://scholar.google.com/scholar?cites=7238505157691825242&as_sdt=2005&sciodt=0,5&hl=en",192,"2020-01-11 17:36:20","CITATION","","","",,,,,10,0.48,3,4,21
3,"L Kong, D Yang, Y Luo","Non-intrusive load monitoring and identification based on maximum likelihood method",2017,"2017 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7926886/","https://scholar.google.com/scholar?cites=16272422157033526291&as_sdt=2005&sciodt=0,5&hl=en",219,"2020-01-11 17:36:20","","","","",,,,,3,1.00,1,3,3
1,"A Iwayemi","Non-intrusive load monitoring and demand response for residential energy management",2016,"","search.proquest.com","http://search.proquest.com/openview/5686c6a618786b224ee71f7de3893a95/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=14400355155455983306&as_sdt=2005&sciodt=0,5&hl=en",282,"2020-01-11 17:36:20","BOOK","","","",,,,,1,0.25,1,1,4
3,"KM Rao, D Ravichandran, K Mahesh","Non-intrusive load monitoring and analytics for device prediction",2016,"Proceedings of the International …","iaeng.org","http://www.iaeng.org/publication/IMECS2016/IMECS2016_pp132-136.pdf","https://scholar.google.com/scholar?cites=436391771570798937&as_sdt=2005&sciodt=0,5&hl=en",211,"2020-01-11 17:36:20","PDF","","","",,,,,3,0.75,1,3,4
0,"SK Krishnamurthi","Non-intrusive load monitoring and analysis for fuel cell requirements: a thesis",2001,"","Clarkson University","","",514,"2020-01-11 17:36:20","CITATION","","","",,,,,0,0.00,0,1,19
23,"AL Wang, BX Chen, CG Wang, D Hua","Non-intrusive load monitoring algorithm based on features of V–I trajectory",2018,"Electric Power Systems Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378779617304911","https://scholar.google.com/scholar?cites=11994992691389748901&as_sdt=2005&sciodt=0,5&hl=en",70,"2020-01-11 17:36:20","","","","",,,,,23,11.50,6,4,2
0,"JD Lackey","Non-intrusive fuel cell load interaction monitoring",2006,"","scholarworks.montana.edu","https://scholarworks.montana.edu/xmlui/handle/1/1688","",489,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,14
2,"LK Norford, RD Tabors, GJ Byrd","Non-intrusive electrical load monitoring, a technique for reduced-cost load research and energy management",1992,"Proceedings of the ACEEE","","","https://scholar.google.com/scholar?cites=2561236401353229116&as_sdt=2005&sciodt=0,5&hl=en",517,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.07,1,3,28
349,"LK Norford, SB Leeb","Non-intrusive electrical load monitoring in commercial buildings based on steady-state and transient load-detection algorithms",1996,"Energy and Buildings","Elsevier","https://www.sciencedirect.com/science/article/pii/0378778895009582","https://scholar.google.com/scholar?cites=4132341074453913252&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-01-11 17:36:20","","","","",,,,,349,14.54,175,2,24
6,"M Alahmad, H Hasna, ...","Non-intrusive electrical load monitoring and profiling methods for applications in energy management systems",2011,"2011 IEEE Long Island …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5784233/","https://scholar.google.com/scholar?cites=10086202482151517960&as_sdt=2005&sciodt=0,5&hl=en",157,"2020-01-11 17:36:20","","","","",,,,,6,0.67,2,3,9
0,"WA Veronesi, NC Soldner, LE Zeidner, ...","Non-intrusive electrical load monitoring",2015,"US Patent …","Google Patents","https://patents.google.com/patent/US9024617B2/en","",314,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,4,5
14,"LK Norford, N Mabey","Non-intrusive electric load monitoring in commercial buildings",1992,"","oaktrust.library.tamu.edu","https://oaktrust.library.tamu.edu/handle/1969.1/92921","https://scholar.google.com/scholar?cites=9768076152344744720&as_sdt=2005&sciodt=0,5&hl=en",162,"2020-01-11 17:36:20","","","","",,,,,14,0.50,7,2,28
2,"S Hidaka, K Nagasaka, H Murata, T Onoda, ...","Non-intrusive electric appliances load monitoring system–real time monitoring at a real household",2004,"CDROM], Proceedings of …","","","https://scholar.google.com/scholar?cites=12880868951402987102&as_sdt=2005&sciodt=0,5&hl=en",516,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.13,0,5,16
15,"H Murata, T Onoda, K Yoshimoto, ...","Non-intrusive electric appliances load monitoring system-Experiment for real household",2004,"IEEJ Transactions on …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2004ITEIS.124.1874M","https://scholar.google.com/scholar?cites=11096424726053136174&as_sdt=2005&sciodt=0,5&hl=en",170,"2020-01-11 17:36:20","","","","",,,,,15,0.94,4,4,16
12,"Y Nakano, H Murata","Non-intrusive electric appliances load monitoring system using harmonic pattern recognition-trial application to commercial building",2007,"Int. Conf. Electrical Engineering, Hong Kong …","researchgate.net","https://www.researchgate.net/profile/Hiroshi_Murata3/publication/268380448_Non-Intrusive_Electric_Appliances_Load_Monitoring_System_Using_Harmonic_Pattern_Recognition_-Trial_Application_to_Commercial_Building/links/56d4e55208ae2cd682b94275/Non-Intrusive-Electric-Appliances-Load-Monitoring-System-Using-Harmonic-Pattern-Recognition-Trial-Application-to-Commercial-Building.pdf","https://scholar.google.com/scholar?cites=14079165326393390187&as_sdt=2005&sciodt=0,5&hl=en",85,"2020-01-11 17:36:20","PDF","","","",,,,,12,0.92,6,2,13
21,"Y Nakano, H Murata, K Yoshimoto, S Hidaka, ...","Non-intrusive electric appliances load monitoring system using harmonic pattern recognition-performance test results at real households",2006,"4th International Conference …","","","https://scholar.google.com/scholar?cites=5692793146995547533&as_sdt=2005&sciodt=0,5&hl=en",469,"2020-01-11 17:36:20","CITATION","","","",,,,,21,1.50,4,5,14
114,"HH Chang","Non-intrusive demand monitoring and load identification for energy management systems based on transient feature analyses",2012,"Energies","mdpi.com","https://www.mdpi.com/1996-1073/5/11/4569","https://scholar.google.com/scholar?cites=11122118472577971865&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-01-11 17:36:20","","","","",,,,,114,14.25,114,1,8
23,"K Yoshimoto, Y Nakano, Y Amano, ...","Non-intrusive appliances load monitoring system using neural networks",2000,"Growth","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/7e36/22620e8158ce01f3f8c34d93cdd4e14203af.pdf","https://scholar.google.com/scholar?cites=3474380445572226716&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-01-11 17:36:20","PDF","","","",,,,,23,1.15,6,4,20
2,"Y Katsuhisa, N Yukio, A Yoshimitsu","Non-intrusive appliances load monitoring system using neural networks",2002,"Transactions of the Institute of Electrical …","","","https://scholar.google.com/scholar?cites=11312937674408153837&as_sdt=2005&sciodt=0,5&hl=en",518,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.11,1,3,18
3,"N Hisahide, S Tatsuya","Non-intrusive appliances load monitoring system using hidden markov model",2006,"Transactions of the Institute of Electrical Engineers of …","","","https://scholar.google.com/scholar?cites=15997175187586959317&as_sdt=2005&sciodt=0,5&hl=en",501,"2020-01-11 17:36:20","CITATION","","","",,,,,3,0.21,2,2,14
7,"S Biansoongnern, B Plungklang","Non-intrusive appliances load monitoring (nilm) for energy conservation in household with low sampling rate",2016,"Procedia Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050916303854","https://scholar.google.com/scholar?cites=7430311161070377553&as_sdt=2005&sciodt=0,5&hl=en",155,"2020-01-11 17:36:20","","","","",,,,,7,1.75,4,2,4
5,"O Kramer, T Klingenberg, ...","Non-intrusive appliance load monitoring with bagging classifiers",2015,"Logic Journal of the …","academic.oup.com","https://academic.oup.com/jigpal/article-abstract/23/3/359/725629","https://scholar.google.com/scholar?cites=18350118754613102933&as_sdt=2005&sciodt=0,5&hl=en",240,"2020-01-11 17:36:20","","","","",,,,,5,1.00,2,3,5
62,"J Liao, G Elafoudi, L Stankovic, ...","Non-intrusive appliance load monitoring using low-resolution smart meter data",2014,"2014 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7007702/","https://scholar.google.com/scholar?cites=12305487884093405587&as_sdt=2005&sciodt=0,5&hl=en",78,"2020-01-11 17:36:20","","","","",,,,,62,10.33,16,4,6
5,"N Khandekar, K Thube, N Patil, PB Mane","Non-intrusive appliance load monitoring system using zigbee protocol",2014,"… Research & Technology (IJERT), 3 (4)","","","https://scholar.google.com/scholar?cites=1867233831450075643&as_sdt=2005&sciodt=0,5&hl=en",490,"2020-01-11 17:36:20","CITATION","","","",,,,,5,0.83,1,4,6
83,"H Pihala","Non-intrusive appliance load monitoring system based on a modern kWh-meter",1998,"","osti.gov","https://www.osti.gov/etdeweb/biblio/310949","https://scholar.google.com/scholar?cites=6857106140072356824&as_sdt=2005&sciodt=0,5&hl=en",65,"2020-01-11 17:36:20","BOOK","","","",,,,,83,3.77,83,1,22
4,"M Zeifman, K Roth","Non-intrusive appliance load monitoring (NIALM): promise and practice",2012,"… USA. Online: Βιβλιογραφία https://energy. gov/sites …","energy.gov","https://www.energy.gov/sites/prod/files/2013/12/f6/nonintrusive_load_monitor.pdf","https://scholar.google.com/scholar?cites=6746980684127086997&as_sdt=2005&sciodt=0,5&hl=en",241,"2020-01-11 17:36:20","PDF","","","",,,,,4,0.50,2,2,8
7,"M Zeifman, K Roth","Non-intrusive appliance load monitoring (NIALM): Review and outlook",2011,"Proc. IEEE Int. Conf. Consum. Electron.","cse.fraunhofer.org","https://www.cse.fraunhofer.org/hs-fs/hub/55819/file-14742612-pdf/docs/nialm-ieee-2011.pdf","https://scholar.google.com/scholar?cites=6247118118588427448&as_sdt=2005&sciodt=0,5&hl=en",199,"2020-01-11 17:36:20","PDF","","","",,,,,7,0.78,4,2,9
